edition,division,district,row_type,branches,branches_share_pct,members,members_share_pct,borrowers,borrowers_share_pct,loan_outstanding_bdt,loan_outstanding_share_pct,savings_bdt,savings_share_pct
2025-06,Barishal,Barguna,district,187,0.69,291008,0.66,220590,0.65,9874150249,0.56,6254052706,0.78
2025-06,Barishal,Barisal,district,458,1.69,612209,1.39,525553,1.56,24373603589,1.39,14103076209,1.76
2025-06,Barishal,Bhola,district,288,1.06,512460,1.17,392824,1.17,21602109015,1.24,8765152491,1.1
2025-06,Barishal,Jhalokati,district,105,0.39,189525,0.43,134645,0.4,5578606733,0.32,3648062106,0.46
2025-06,Barishal,Patuakhali,district,333,1.23,511720,1.16,390214,1.16,18162724717,1.04,11042971510,1.38
2025-06,Barishal,Pirojpur,district,201,0.74,335736,0.76,234151,0.7,10828273821,0.62,6893315795,0.86
2025-06,Barishal,,division_total,1572,5.8,2452658,5.58,1897977,5.63,90419468125,5.17,50706630818,6.34
2025-06,Chattogram,Bandarban,district,38,0.14,62938,0.14,51305,0.15,2172656570,0.12,1090944274,0.14
2025-06,Chattogram,Brahmanbaria,district,564,2.08,842178,1.91,631054,1.87,49094725989,2.81,19241092549,2.41
2025-06,Chattogram,Chandpur,district,483,1.78,795765,1.81,625134,1.86,37778395646,2.16,16112991558,2.02
2025-06,Chattogram,Chattogram,district,1278,4.71,2190176,4.98,1546626,4.59,79012078053,4.52,41685177085,5.22
2025-06,Chattogram,Cox's Bazar,district,331,1.22,629936,1.43,505340,1.5,21984977855,1.26,10906458005,1.36
2025-06,Chattogram,Feni,district,321,1.18,471009,1.07,344747,1.02,25596751848,1.46,9849131872,1.23
2025-06,Chattogram,Khagrachhari,district,74,0.27,139499,0.32,107902,0.32,5123396066,0.29,2658138706,0.33
2025-06,Chattogram,Lakshmipur,district,340,1.25,513406,1.17,367866,1.09,24478872749,1.4,9588434197,1.2
2025-06,Chattogram,Noakhali,district,562,2.07,870104,1.98,637614,1.89,40948506850,2.34,15622607148,1.95
2025-06,Chattogram,Rangamati,district,57,0.21,100925,0.23,72984,0.22,3101287762,0.18,1634418252,0.2
2025-06,Chattogram,Cumilla,district,1285,4.74,1652688,3.76,1338574,3.97,105281460797,6.02,39273062000,4.91
2025-06,Chattogram,,division_total,5333,19.67,8268624,18.8,6229146,18.49,394573110185,22.56,167662455648,20.98
2025-06,Dhaka,Dhaka,district,1553,5.73,2304211,5.24,1702667,5.06,113753297860,6.5,46166074219,5.78
2025-06,Dhaka,Faridpur,district,512,1.89,810392,1.84,581928,1.73,32214682535,1.84,16340254327,2.04
2025-06,Dhaka,Gazipur,district,816,3.01,1274163,2.9,918807,2.73,59153565713,3.38,23859955696,2.99
2025-06,Dhaka,Gopalganj,district,227,0.84,372698,0.85,270388,0.8,14452275052,0.83,8487107688,1.06
2025-06,Dhaka,Kishoreganj,district,482,1.78,840052,1.91,601523,1.79,32451475263,1.86,14967191660,1.87
2025-06,Dhaka,Madaripur,district,312,1.15,481479,1.09,332640,0.99,27292382073,1.56,10188882624,1.27
2025-06,Dhaka,Manikganj,district,373,1.38,634346,1.44,383856,1.14,23830651589,1.36,17344487068,2.17
2025-06,Dhaka,Munshiganj,district,362,1.34,555470,1.26,388122,1.15,32182883744,1.84,12529855995,1.57
2025-06,Dhaka,Narayanganj,district,606,2.24,1018228,2.32,769493,2.28,48910598837,2.8,17533713515,2.19
2025-06,Dhaka,Narsingdi,district,473,1.74,764886,1.74,538750,1.6,34590541356,1.98,12957310107,1.62
2025-06,Dhaka,Rajbari,district,270,1.0,456334,1.04,325822,0.97,15643433317,0.89,10220459966,1.28
2025-06,Dhaka,Shariatpur,district,301,1.11,470642,1.07,342967,1.02,25269991105,1.44,7789347782,0.97
2025-06,Dhaka,Tangail,district,904,3.33,1489444,3.39,932279,2.77,45442941205,2.6,36051915287,4.51
2025-06,Dhaka,,division_total,7191,26.52,11472345,26.09,8089242,24.02,505188719650,28.89,234436555932,29.33
2025-06,Khulna,Bagerhat,district,291,1.07,481010,1.09,335875,1.0,11970510736,0.68,6123438281,0.77
2025-06,Khulna,Chuadanga,district,381,1.41,607138,1.38,477049,1.42,22168562301,1.27,7118402057,0.89
2025-06,Khulna,Jashore,district,649,2.39,1004377,2.28,757808,2.25,35708752904,2.04,15742000417,1.97
2025-06,Khulna,Jhenaidah,district,496,1.83,720352,1.64,590616,1.75,29134347036,1.67,12124466945,1.52
2025-06,Khulna,Khulna,district,488,1.8,810377,1.84,614284,1.82,23407571790,1.34,10783169646,1.35
2025-06,Khulna,Kushtia,district,513,1.89,787239,1.79,653923,1.94,29425335518,1.68,12504169302,1.56
2025-06,Khulna,Magura,district,207,0.76,338256,0.77,251544,0.75,11809570645,0.68,6842130748,0.86
2025-06,Khulna,Meherpur,district,191,0.7,283122,0.64,220595,0.65,11260503245,0.64,3309219085,0.41
2025-06,Khulna,Narail,district,138,0.51,234749,0.53,157184,0.47,7756472942,0.44,4233039429,0.53
2025-06,Khulna,Satkhira,district,394,1.45,697234,1.59,477810,1.42,17988195684,1.03,10313309553,1.29
2025-06,Khulna,,division_total,3748,13.82,5963854,13.56,4536688,13.47,200629822801,11.47,89093345462,11.15
2025-06,Mymensingh,Jamalpur,district,237,0.87,504587,1.15,365560,1.09,15499855131,0.89,10425917829,1.3
2025-06,Mymensingh,Mymensingh,district,621,2.29,984892,2.24,762718,2.26,38243175569,2.19,17277677310,2.16
2025-06,Mymensingh,Netrakona,district,233,0.86,419679,0.95,380675,1.13,14923036378,0.85,7251727605,0.91
2025-06,Mymensingh,Sherpur,district,120,0.44,297209,0.68,211029,0.63,8300546491,0.47,3746490516,0.47
2025-06,Mymensingh,,division_total,1211,4.47,2206367,5.02,1719982,5.11,76966613569,4.4,38701813259,4.84
2025-06,Rajshahi,Bogra,district,771,2.84,1194976,2.72,1091423,3.24,47614171019,2.72,20341869178,2.54
2025-06,Rajshahi,Chapai Nababganj,district,381,1.41,576638,1.31,421151,1.25,16633543675,0.95,6783339559,0.85
2025-06,Rajshahi,Joypurhat,district,260,0.96,420377,0.96,321891,0.96,13104206179,0.75,5779824380,0.72
2025-06,Rajshahi,Naogaon,district,723,2.67,1150908,2.62,868077,2.58,39238789850,2.24,15898211594,1.99
2025-06,Rajshahi,Natore,district,445,1.64,615519,1.4,517561,1.54,22920994345,1.31,11978472348,1.5
2025-06,Rajshahi,Pabna,district,671,2.47,1046195,2.38,848589,2.52,40146988487,2.3,19044534508,2.38
2025-06,Rajshahi,Rajshahi,district,721,2.66,906218,2.06,851540,2.53,35540298299,2.03,16130345491,2.02
2025-06,Rajshahi,Sirajganj,district,519,1.91,869260,1.98,629977,1.87,30035684119,1.72,15537651582,1.94
2025-06,Rajshahi,,division_total,4491,16.56,6780091,15.42,5550209,16.48,245234675972,14.02,111494248641,13.95
2025-06,Rangpur,Dinajpur,district,714,2.63,1127297,2.56,999402,2.97,40891042879,2.34,17255419384,2.16
2025-06,Rangpur,Gaibandha,district,364,1.34,700830,1.59,554653,1.65,23947623785,1.37,13864191962,1.73
2025-06,Rangpur,Kurigram,district,281,1.04,516522,1.17,448361,1.33,16701286428,0.96,8513103684,1.07
2025-06,Rangpur,Lalmonirhat,district,182,0.67,419971,0.95,318310,0.95,12098057146,0.69,5241911782,0.66
2025-06,Rangpur,Nilphamari,district,313,1.15,670120,1.52,523450,1.55,20878841231,1.19,8403028333,1.05
2025-06,Rangpur,Panchagarh,district,193,0.71,378598,0.86,297495,0.88,10973786653,0.63,4600807556,0.58
2025-06,Rangpur,Rangpur,district,442,1.63,901148,2.05,768970,2.28,28708477914,1.64,12050050707,1.51
2025-06,Rangpur,Thakurgaon,district,212,0.78,408692,0.93,336528,1.0,14390834079,0.82,7697504705,0.96
2025-06,Rangpur,,division_total,2701,9.96,5123178,11.65,4247169,12.61,168589950115,9.64,77626018112,9.71
2025-06,Sylhet,Habiganj,district,252,0.93,435593,0.99,379245,1.13,19677539052,1.13,8457616225,1.06
2025-06,Sylhet,Maulvibazar,district,205,0.76,448494,1.02,356456,1.06,14631300260,0.84,6886131731,0.86
2025-06,Sylhet,Sunamganj,district,167,0.62,384382,0.87,297953,0.88,14122978190,0.81,6734867467,0.84
2025-06,Sylhet,Sylhet,district,242,0.89,443635,1.01,378002,1.12,18767905400,1.07,7524738696,0.94
2025-06,Sylhet,,division_total,866,3.19,1712104,3.89,1411656,4.19,67199722902,3.84,29603354119,3.7
2025-06,All Divisions,All Districts,all_districts,27113,100,43979221,100,33682069,100,1748802083320,100,799324421991,100
