edition,division,district,division_geocode,district_geocode,households,population,financial_account_pct,mobile_banking_pct
census-2022,Barishal,Barguna,10,4,255390,1010531,23.91,45.23
census-2022,Barishal,Barishal,10,6,629626,2570446,26.29,42.03
census-2022,Barishal,Bhola,10,9,449057,1932518,23.16,35.81
census-2022,Barishal,Jhalokati,10,42,162401,661160,27.29,45.07
census-2022,Barishal,Patuakhali,10,78,424743,1727254,24.8,40.09
census-2022,Barishal,Pirojpur,10,79,298490,1198195,24.71,44.19
census-2022,Chattogram,Bandarban,20,3,106155,481106,23.07,35.05
census-2022,Chattogram,Brahmanbaria,20,12,712578,3306563,23.4,31.55
census-2022,Chattogram,Chandpur,20,13,635431,2635748,25.31,41.69
census-2022,Chattogram,Chattogram,20,15,2143909,9169465,30.22,35.21
census-2022,Chattogram,Cox's Bazar,20,22,1407368,6212216,22.4,33.69
census-2022,Chattogram,Cumilla,20,19,587114,2823268,27.0,35.53
census-2022,Chattogram,Feni,20,30,377164,1648896,29.65,35.25
census-2022,Chattogram,Khagrachhari,20,46,169526,714119,20.98,38.99
census-2022,Chattogram,Lakshmipur,20,51,459344,1937948,24.77,37.71
census-2022,Chattogram,Noakhali,20,75,776070,3625442,23.47,34.44
census-2022,Chattogram,Rangamati,20,84,153482,647586,20.08,38.0
census-2022,Dhaka,Dhaka,30,26,4035241,14734701,34.63,47.85
census-2022,Dhaka,Faridpur,30,29,525877,2162879,25.67,36.33
census-2022,Dhaka,Gazipur,30,33,1579781,5263450,25.16,51.35
census-2022,Dhaka,Gopalganj,30,35,308710,1295057,24.25,41.66
census-2022,Dhaka,Kishoreganj,30,48,760952,3267626,17.32,27.13
census-2022,Dhaka,Madaripur,30,54,313273,1293027,26.09,37.85
census-2022,Dhaka,Manikganj,30,56,393524,1558025,28.06,33.27
census-2022,Dhaka,Munshiganj,30,59,399631,1625416,28.87,32.62
census-2022,Dhaka,Narayanganj,30,67,1023175,3909138,23.44,36.92
census-2022,Dhaka,Narsingdi,30,68,621511,2584452,23.65,31.4
census-2022,Dhaka,Rajbari,30,82,295216,1189818,25.97,37.62
census-2022,Dhaka,Shariatpur,30,86,308964,1294562,24.14,37.1
census-2022,Dhaka,Tangail,30,93,1061746,4037608,27.65,35.53
census-2022,Khulna,Bagerhat,40,1,408840,1613076,25.84,40.4
census-2022,Khulna,Chuadanga,40,18,326714,1234054,22.25,35.97
census-2022,Khulna,Jashore,40,41,798032,3076144,27.3,38.09
census-2022,Khulna,Jhenaidah,40,44,519295,2005849,27.55,42.58
census-2022,Khulna,Khulna,40,47,670861,2613385,31.52,46.62
census-2022,Khulna,Kushtia,40,50,565339,2149692,26.93,39.01
census-2022,Khulna,Magura,40,55,254154,1033115,26.62,40.95
census-2022,Khulna,Meherpur,40,57,195322,705356,23.35,37.47
census-2022,Khulna,Narail,40,65,195660,788671,25.3,40.06
census-2022,Khulna,Satkhira,40,87,566752,2196582,26.98,44.42
census-2022,Mymensingh,Jamalpur,45,39,652047,2499738,17.61,37.75
census-2022,Mymensingh,Mymensingh,45,61,1460904,5899005,17.4,34.9
census-2022,Mymensingh,Netrakona,45,72,548443,2324853,16.76,34.61
census-2022,Mymensingh,Sherpur,45,89,396149,1501853,16.67,37.04
census-2022,Rajshahi,Bogura,50,10,1025200,3734297,25.86,42.68
census-2022,Rajshahi,Chapainababganj,50,70,269905,956431,22.76,35.13
census-2022,Rajshahi,Joypurhat,50,38,765457,2784599,28.46,42.52
census-2022,Rajshahi,Naogaon,50,64,501957,1859922,24.93,40.81
census-2022,Rajshahi,Natore,50,69,448028,1835528,25.69,39.45
census-2022,Rajshahi,Pabna,50,76,743558,2909624,28.04,40.04
census-2022,Rajshahi,Rajshahi,50,81,775245,2915009,28.13,41.47
census-2022,Rajshahi,Sirajganj,50,88,842308,3357706,21.15,36.74
census-2022,Rangpur,Dinajpur,55,27,836977,3315236,28.86,44.48
census-2022,Rangpur,Gaibandha,55,32,700288,2562233,24.66,46.97
census-2022,Rangpur,Kurigram,55,49,605722,2329160,18.32,45.45
census-2022,Rangpur,Lalmonirhat,55,52,342028,1428406,19.06,41.15
census-2022,Rangpur,Nilphamari,55,73,505605,2092568,25.96,43.37
census-2022,Rangpur,Panchagarh,55,77,281627,1179843,27.5,37.87
census-2022,Rangpur,Rangpur,55,85,834307,3169614,23.57,42.28
census-2022,Rangpur,Thakurgaon,55,94,382400,1533895,26.1,40.9
census-2022,Sylhet,Habiganj,60,36,491884,2358886,16.81,29.63
census-2022,Sylhet,Moulvibazar,60,58,446356,2123447,23.07,30.91
census-2022,Sylhet,Sunamganj,60,90,528550,2695496,12.58,26.43
census-2022,Sylhet,Sylhet,60,91,746854,3857123,18.61,31.88
