edition,serial,license_no,license_printed,name,page,branches,employees_male,employees_female,employees_total,clients_male,clients_female,clients_third_gender,clients_total,borrowers_male,borrowers_female,borrowers_third_gender,borrowers_total,savings_bdt,loan_disbursement_bdt,loan_outstanding_bdt
2025-06,1,792,21112-01012-00792,Abalamban,70,2,10,2,12,968,2075,,3043,643,1451,,2094,15596866,,35744582
2025-06,2,529,03722-03365-00529,Abdul Hai Zahura Welfare Foundation,70,1,4,1,5,280,1102,,1382,237,855,,1092,3611856,10611000,13029545
2025-06,3,388,01771-03222-00388,Abdul Momen Khan Memorial Foundation (Khan Foundation),70,1,2,0,2,,5619,,5619,,2215,,2215,23299279,105491000,71436731
2025-06,4,244,00584-01897-00244,Access Toward Livelihood and Welfare Organization (ALWO),70,3,7,4,11,,1606,,1606,,1311,,1311,4912636,36808000,25743491
2025-06,5,894,32021-00881-00894,Action for Community Development,70,2,10,0,10,,2005,,2005,,1499,,1499,8507824,83975000,46182413
2025-06,6,265,00684-02909-00265,ACTION FOR HUMAN DEVELOPMENT ORGANIZATION AHDO,70,18,27,4,31,758,20417,22,21197,387,13960,15,14362,182812453,668346000,450398046
2025-06,7,323,01153-01347-00323,Action for Social Development,70,,,,,,,,,,,,,,,
2025-06,8,130,02008-02954-00130,Association for Development Activity of Manifold Social Work (ADAMS Foundation),70,14,74,34,108,795,20918,,21713,722,17981,,18703,114786119,405468000,313252087
2025-06,9,406,01863-00447-00406,Adarsho Manob Kallyan Sangha,70,1,12,2,14,80,1768,,1848,51,1274,,1325,11884955,62311000,46325321
2025-06,10,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),70,216,525,1860,2385,396,433827,,434223,245,317829,,318074,3061840515,18105175500,10423453115
2025-06,11,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),71,8,16,12,28,,5682,,5682,,4035,,4035,69739636,161825000,118018243
2025-06,12,73,01865-02314-00073,ADRSO Shomaj Kallyan Sangstha (ADRSO),71,1,18,2,20,1334,3703,,5037,828,2877,,3705,23547982,112857000,76463515
2025-06,13,753,05060-04245-00753,Advanced Society for Any Research & Active Life Oriented Work,71,2,14,1,15,1095,1338,,2433,830,931,,1761,24650833,178601000,121950802
2025-06,14,876,21112-00060-00876,Adventist Development and relief Agency ADRA Bangladesh,71,3,6,6,12,,1317,,1317,,1032,,1032,6945137,46685000,32082811
2025-06,15,837,21112-01214-00837,Agamir Shwapno (AS),71,1,0,1,1,,1215,,1215,,1187,,1187,505810,6540000,10196965
2025-06,16,672,00648-01479-00672,Agragati Seba Sangstha (A S S),71,21,67,41,108,672,9192,,9864,382,7059,,7441,204002042,359481000,246645060
2025-06,17,189,05774-00474-00189,Agragati,71,6,42,3,45,,5206,,5206,,4592,,4592,44496261,218067000,180842216
2025-06,18,708,02424-04685-00708,Agraha Unnayan Sangstha,71,7,30,2,32,3393,4793,,8186,2267,3568,,5835,69700738,154897500,110641366
2025-06,19,617,00586-00030-00617,Agrapathik Development Foundation,71,,,,,,,,,,,,,,,
2025-06,20,901,32021-02070-00901,Agri Development Foundation,72,2,7,0,7,1331,329,,1660,1090,128,,1218,3068172,,128558127
2025-06,21,727,07086-04175-00727,AGROGAMI UNNAYAN SANGASTHA(AGROGAMI),72,4,18,3,21,735,2663,,3398,495,2049,,2544,80084694,162313000,117145823
2025-06,22,276,01180-01615-00276,Ahead Social Organization (ASO),72,40,257,49,306,4865,39166,,44031,4053,32932,,36985,530853040,3554071800,1946278875
2025-06,23,32,01493-01429-00032,Action in Development (AID),72,2,18,8,26,,,,,,,,,,,
2025-06,24,401,03092-01106-00401,Akota Samaj Unnayan Kenddra (ASUK),72,1,8,2,10,181,659,,840,164,538,,702,3586525,12187000,11724611
2025-06,25,663,00597-00726-00663,Al Kariem Shikkha O Paribesh Unnayan Foundation,72,1,3,0,3,1122,,,1122,851,,,851,4896172,19229000,12633137
2025-06,26,571,00688-00122-00571,ALAP- Association for Landless and Poor,72,3,9,5,14,558,1224,,1782,440,895,,1335,17456225,79290000,51519107
2025-06,27,177,00339-03482-00177,Al-Falah Aam Unnayan Sangstha (AFAUS),72,20,173,53,226,227,34678,,34905,168,23072,,23240,404018864,1180091000,602053914
2025-06,28,845,21112-00075-00845,Allokito gram (aggra),72,2,6,3,9,,1297,,1297,,1000,,1000,60276,14034000,15861642
2025-06,29,539,05291-03805-00539,Alo Manabik Unnayan Kendra (ALO),73,1,3,0,3,468,1590,,2058,450,1575,,2025,3264600,7100000,12121344
2025-06,30,108,03260-01158-00108,Aloha Social Services Bangladesh (ASSB),73,16,102,48,150,3124,17057,25,20206,3005,13440,14,16445,146452625,910645000,536823188
