edition,serial,license_no,license_printed,name,page,saving_cost_ratio,borrowing_cost_ratio,total_financial_cost_ratio,general_admin_cost_ratio,total_operating_cost_ratio
2025-06,1,792,21112-01012-00792,Abalamban,172,1.45,0.72,2.17,11.05,13.22
2025-06,2,529,03722-03365-00529,Abdul Hai Zahura Welfare Foundation,172,1.19,,1.19,12.92,14.1
2025-06,3,244,00584-01897-00244,Access Toward Livelihood and Welfare Organization (ALWO),172,1.01,2.36,3.37,10.06,13.43
2025-06,4,894,32021-00881-00894,Action for Community Development,172,0.97,3.66,4.63,11.85,16.48
2025-06,5,265,00684-02909-00265,ACTION FOR HUMAN DEVELOPMENT ORGANIZATION AHDO,172,3.06,1.42,4.47,12.44,16.91
2025-06,6,130,02008-02954-00130,Association for Development Activity of Manifold Social Work (ADAMS Foundation),172,1.11,,1.11,10.07,11.18
2025-06,7,406,01863-00447-00406,Adarsho Manob Kallyan Sangha,172,1.39,2.19,3.58,11.91,15.49
2025-06,8,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),172,1.95,3.98,5.93,11.84,17.77
2025-06,9,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),172,2.63,6.37,9.0,11.65,20.64
2025-06,10,73,01865-02314-00073,ADRSO Shomaj Kallyan Sangstha (ADRSO),172,1.43,2.43,3.87,10.27,14.14
2025-06,11,753,05060-04245-00753,Advanced Society for Any Research & Active Life Oriented Work,172,1.35,4.34,5.69,9.17,14.86
2025-06,12,876,21112-00060-00876,Adventist Development and relief Agency ADRA Bangladesh,172,1.15,,1.15,15.53,16.68
2025-06,13,837,21112-01214-00837,Agamir Shwapno (AS),172,0.41,3.14,3.55,7.43,10.98
2025-06,14,672,00648-01479-00672,Agragati Seba Sangstha (A S S),172,0.37,9.77,10.15,15.09,25.24
2025-06,15,189,05774-00474-00189,Agragati,172,1.29,3.03,4.31,10.84,15.15
2025-06,16,727,07086-04175-00727,AGROGAMI UNNAYAN SANGASTHA(AGROGAMI),172,4.39,1.14,5.53,8.88,14.41
2025-06,17,276,01180-01615-00276,Ahead Social Organization (ASO),172,1.71,3.64,5.34,9.95,15.29
2025-06,18,32,01493-01429-00032,Action in Development (AID),172,0.29,,0.29,4.68,4.97
2025-06,19,401,03092-01106-00401,Akota Samaj Unnayan Kenddra (ASUK),172,1.28,,1.28,10.32,11.61
2025-06,20,663,00597-00726-00663,Al Kariem Shikkha O Paribesh Unnayan Foundation,172,2.06,,2.06,14.93,16.99
2025-06,21,571,00688-00122-00571,ALAP- Association for Landless and Poor,172,1.88,2.2,4.07,11.3,15.37
2025-06,22,177,00339-03482-00177,Al-Falah Aam Unnayan Sangstha (AFAUS),172,2.93,0.51,3.44,17.14,20.58
2025-06,23,845,21112-00075-00845,Allokito gram (aggra),172,,0.45,0.45,8.07,8.52
2025-06,24,108,03260-01158-00108,Aloha Social Services Bangladesh (ASSB),172,1.5,0.89,2.39,10.6,12.99
2025-06,25,859,21112-00080-00859,ALOK BANGLA (An Initiative to Promote People’s Self-Help),172,1.42,7.33,8.76,9.26,18.01
2025-06,26,824,21112-00187-00824,Alor Disha Foundation,172,1.85,1.49,3.34,12.13,15.47
2025-06,27,789,21112-00792-00789,Alor Dishari Mohila Unnayan Sangstha,173,1.32,1.63,2.95,11.84,14.79
2025-06,28,671,04781-01544-00671,Alor Nir Somity (A N S),173,3.96,1.14,5.1,10.94,16.05
2025-06,29,597,04066-00937-00597,Alor Pothe (AP),173,3.55,0.7,4.25,5.66,9.9
2025-06,30,303,00711-00027-00303,Alternative Development Initiative (ADI),173,2.77,3.3,6.07,10.65,16.72
2025-06,31,86,00350-01308-00086,Ambala Foundation,173,5.49,4.09,9.58,10.79,20.37
2025-06,32,344,00136-00610-00344,AMDA Health & Environment Development Society,173,3.36,1.34,4.7,18.71,23.42
2025-06,33,856,21112-00044-00856,AMENA Foundation (A.F),173,1.57,,1.57,10.04,11.61
2025-06,34,778,21112-00215-00778,AMITY MANOB UNNAYAN SANGSTHA,173,1.98,2.58,4.56,9.14,13.7
2025-06,35,661,01613-01081-00661,Amra Kaj Kory(AKK),173,1.63,3.04,4.67,13.02,17.69
2025-06,36,232,02060-01912-00232,Anando,173,1.29,,1.29,16.14,17.43
2025-06,37,637,00846-01064-00637,Ancholic Polli Unnayan Sangstha (APUS),173,1.02,3.09,4.11,11.19,15.3
2025-06,38,294,00701-00968-00294,Anirban Samaj Unnayan Sangstha,173,2.73,0.15,2.88,7.52,10.39
2025-06,39,298,00353-02761-00298,Annaya Samaj Kallyan Sangstha (ASKS),173,10.27,0.84,11.11,16.99,28.11
2025-06,40,321,00669-03433-00321,Ansar Ali Foundation for Integrated Development (AAFID),173,1.46,1.91,3.37,10.99,14.36
2025-06,41,829,21112-00498-00829,Apon (Artho Samajik Unnyon Songstha),173,1.62,6.92,8.54,17.19,25.73
2025-06,42,405,02814-03211-00405,ARS-Bangladesh (ARS-BD),173,1.68,6.04,7.73,11.25,18.98
2025-06,43,466,00886-02685-00466,Artha-Samajik o Paribesh Unnayan Sangstha,173,2.46,0.69,3.16,10.97,14.13
2025-06,44,100,00470-00538-00100,ASA,173,2.77,0.04,2.82,11.85,14.67
2025-06,45,200,00609-01019-00200,Ashrai,173,1.43,7.85,9.28,12.53,21.81
2025-06,46,199,00178-00261-00199,ASPADA Paribesh Unnayan Foundation,173,4.43,4.98,9.41,16.25,25.67
2025-06,47,127,01173-01986-00127,Assistance for Social Organization and Development -ASOD,173,0.16,,0.16,4.98,5.14
2025-06,48,576,00752-00253-00576,Assistance for the Livelihood of the Origins (ALO),173,,,,11.57,11.57
2025-06,49,102,01672-00390-00102,Association for Advancement & Development,173,0.97,6.46,7.43,5.89,13.32
2025-06,50,146,00429-00140-00146,Association for Integrated Development-Comilla (AID-Comilla),173,2.53,3.26,5.79,14.25,20.04
2025-06,51,812,21112-00537-00812,Association for Peoples Development Stream (APDS),173,1.19,2.1,3.3,18.23,21.53
2025-06,52,66,01482-00179-00066,Association For Realisation of Basic Needs-ARBAN,173,3.24,2.1,5.34,18.88,24.22
2025-06,53,56,00307-02179-00056,Association for Renovation of Community Health Education Services (ARCHES),174,3.17,2.58,5.76,14.0,19.75
2025-06,54,42,02015-00479-00042,Association for Rural Advancement in Bangladesh (ARAB),174,1.14,0.54,1.68,13.03,14.71
2025-06,55,593,01234-03143-00593,Association for Social Development (A.S.D),174,2.06,2.31,4.37,7.77,12.13
2025-06,56,447,02471-01868-00447,Association for Social Development,174,2.81,3.93,6.74,9.59,16.33
2025-06,57,164,00104-03016-00164,Association for Socio-Economic Advancement of Bangladesh (ASEAB),174,2.18,2.23,4.42,12.29,16.71
2025-06,58,58,00527-00392-00058,Association for Under-Privileged People-AUP,174,2.19,2.96,5.15,11.6,16.75
2025-06,59,436,01457-00321-00436,Association for Women Empowerment and Child Right’s (AWAC),174,2.76,1.2,3.96,11.9,15.86
2025-06,60,754,03416-01262-00754,Association of Workers for Alternative Rural Development (AWARD),174,1.31,,1.31,7.29,8.6
2025-06,61,34,00969-00226-00034,ATMABISWAS,174,1.61,5.94,7.55,9.98,17.53
2025-06,62,134,00245-02077-00134,Aungkur Palli Unnayan Kendra,174,2.26,2.36,4.63,11.89,16.52
2025-06,63,326,00244-00343-00326,Jugabani Samaj Kallayan Sangstha (JSKS),174,4.49,2.35,6.84,12.42,19.26
2025-06,64,325,02676-02019-00325,Aushgara Unnayan Sangstha,174,3.08,0.51,3.6,9.32,12.92
2025-06,65,470,05305-00792-00470,AVA Development Society,174,0.95,2.59,3.54,11.53,15.07
2025-06,66,673,04782-01547-00673,BADHAN GRAM UNNAYAN FOUNDATION,174,1.5,0.32,1.82,12.4,14.22
