edition,serial,license_no,license_printed,name,page,fund_type,amount_2025_06_bdt,share_2025_06_pct,amount_2024_06_bdt,share_2024_06_pct
2025-06,1,792,21112-01012-00792,Abalamban,228,Clients' Savings,15596866,42.92,13518873,41.84
2025-06,1,792,21112-01012-00792,Abalamban,228,Loan from Govt.,,0.0,4790000,14.83
2025-06,1,792,21112-01012-00792,Abalamban,228,Other loans,3968000,10.92,,0.0
2025-06,1,792,21112-01012-00792,Abalamban,228,Cumulative Surplus,10562644,29.07,8847383,27.38
2025-06,1,792,21112-01012-00792,Abalamban,228,Other Fund,6212510,17.1,5151422,15.94
2025-06,1,792,21112-01012-00792,Abalamban,228,Total,36340020,100,32307678,100
2025-06,2,529,03722-03365-00529,Abdul Hai Zahura Welfare Foundation,228,Clients' Savings,3611856,26.34,3048168,36.47
2025-06,2,529,03722-03365-00529,Abdul Hai Zahura Welfare Foundation,228,Other loans,4714000,34.38,,0.0
2025-06,2,529,03722-03365-00529,Abdul Hai Zahura Welfare Foundation,228,Cumulative Surplus,4552735,33.2,4568794,54.66
2025-06,2,529,03722-03365-00529,Abdul Hai Zahura Welfare Foundation,228,Other Fund,833559,6.08,742029,8.88
2025-06,2,529,03722-03365-00529,Abdul Hai Zahura Welfare Foundation,228,Total,13712150,100,8358991,100
2025-06,3,244,00584-01897-00244,Access Toward Livelihood and Welfare Organization (ALWO),228,Clients' Savings,4912636,23.34,5268201,25.74
2025-06,3,244,00584-01897-00244,Access Toward Livelihood and Welfare Organization (ALWO),228,Loan from PKSF,11981079,56.93,12721079,62.16
2025-06,3,244,00584-01897-00244,Access Toward Livelihood and Welfare Organization (ALWO),228,Donors' Fund,0,0.0,8009,0.04
2025-06,3,244,00584-01897-00244,Access Toward Livelihood and Welfare Organization (ALWO),228,Cumulative Surplus,1684128,8.0,308138,1.51
2025-06,3,244,00584-01897-00244,Access Toward Livelihood and Welfare Organization (ALWO),228,Other Fund,2467626,11.73,2158151,10.55
2025-06,3,244,00584-01897-00244,Access Toward Livelihood and Welfare Organization (ALWO),228,Total,21045470,100,20463578,100
2025-06,4,894,32021-00881-00894,Action for Community Development,228,Clients' Savings,8507824,67.76,4972129,15.69
2025-06,4,894,32021-00881-00894,Action for Community Development,228,Other loans,,0.0,25225000,79.6
2025-06,4,894,32021-00881-00894,Action for Community Development,228,Cumulative Surplus,3222290,25.66,1160801,3.66
2025-06,4,894,32021-00881-00894,Action for Community Development,228,Other Fund,825165,6.57,332975,1.05
2025-06,4,894,32021-00881-00894,Action for Community Development,228,Total,12555279,100,31690905,100
2025-06,5,265,00684-02909-00265,ACTION FOR HUMAN DEVELOPMENT ORGANIZATION AHDO,228,Clients' Savings,182812453,40.8,171144000,36.84
2025-06,5,265,00684-02909-00265,ACTION FOR HUMAN DEVELOPMENT ORGANIZATION AHDO,228,Loan from PKSF,56833335,12.68,101170960,21.78
2025-06,5,265,00684-02909-00265,ACTION FOR HUMAN DEVELOPMENT ORGANIZATION AHDO,228,Loan from Commercial Banks,9615596,2.15,,0.0
2025-06,5,265,00684-02909-00265,ACTION FOR HUMAN DEVELOPMENT ORGANIZATION AHDO,228,Cumulative Surplus,138877188,30.99,118339239,25.47
2025-06,5,265,00684-02909-00265,ACTION FOR HUMAN DEVELOPMENT ORGANIZATION AHDO,228,Other Fund,59945449,13.38,73907330,15.91
2025-06,5,265,00684-02909-00265,ACTION FOR HUMAN DEVELOPMENT ORGANIZATION AHDO,228,Total,448084021,100,464561529,100
2025-06,6,130,02008-02954-00130,Association for Development Activity of Manifold Social Work (ADAMS Foundation),228,Clients' Savings,114786119,44.55,139770958,49.93
2025-06,6,130,02008-02954-00130,Association for Development Activity of Manifold Social Work (ADAMS Foundation),228,Other loans,515601,0.2,,0.0
2025-06,6,130,02008-02954-00130,Association for Development Activity of Manifold Social Work (ADAMS Foundation),228,Donors' Fund,47074508,18.27,47074508,16.82
2025-06,6,130,02008-02954-00130,Association for Development Activity of Manifold Social Work (ADAMS Foundation),228,Cumulative Surplus,65171570,25.29,64126454,22.91
2025-06,6,130,02008-02954-00130,Association for Development Activity of Manifold Social Work (ADAMS Foundation),228,Other Fund,30118386,11.69,28949876,10.34
2025-06,6,130,02008-02954-00130,Association for Development Activity of Manifold Social Work (ADAMS Foundation),228,Total,257666184,100,279921796,100
2025-06,7,406,01863-00447-00406,Adarsho Manob Kallyan Sangha,228,Clients' Savings,11884955,23.43,11846980,24.16
2025-06,7,406,01863-00447-00406,Adarsho Manob Kallyan Sangha,228,Other loans,16050000,31.64,16050000,32.73
2025-06,7,406,01863-00447-00406,Adarsho Manob Kallyan Sangha,228,Cumulative Surplus,12877478,25.38,12007320,24.49
2025-06,7,406,01863-00447-00406,Adarsho Manob Kallyan Sangha,228,Other Fund,9916290,19.55,9128693,18.62
2025-06,7,406,01863-00447-00406,Adarsho Manob Kallyan Sangha,228,Total,50728723,100,49032993,100
2025-06,8,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),228,Clients' Savings,3061840515,28.05,2509450907,27.32
2025-06,8,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),228,Loan from PKSF,2194914317,20.11,1676399177,18.25
2025-06,8,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),228,Loan from Other MFIs,338625063,3.1,211879294,2.31
2025-06,8,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),228,Loan from Commercial Banks,1978500362,18.12,1982517623,21.58
2025-06,8,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),228,Cumulative Surplus,2736557706,25.07,2293146094,24.97
2025-06,8,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),228,Other Fund,605879509,5.55,511611954,5.57
2025-06,8,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),228,Total,10916317472,100,9185005049,100
2025-06,9,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),229,Clients' Savings,69739637,53.81,70049643,34.79
2025-06,9,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),229,Loan from Commercial Banks,14508452,11.19,87377991,43.4
2025-06,9,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),229,Other loans,12494000,9.64,12494000,6.21
2025-06,9,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),229,Donors' Fund,2520000,1.94,2520000,1.25
2025-06,9,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),229,Cumulative Surplus,22851945,17.63,22386580,11.12
2025-06,9,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),229,Other Fund,7501309,5.79,6519081,3.24
2025-06,9,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),229,Total,129615343,100,201347295,100
2025-06,10,73,01865-02314-00073,ADRSO Shomaj Kallyan Sangstha (ADRSO),229,Clients' Savings,23547982,49.51,20574380,49.9
2025-06,10,73,01865-02314-00073,ADRSO Shomaj Kallyan Sangstha (ADRSO),229,Other loans,3050210,6.41,2463780,5.98
2025-06,10,73,01865-02314-00073,ADRSO Shomaj Kallyan Sangstha (ADRSO),229,Cumulative Surplus,17170402,36.1,14948470,36.26
2025-06,10,73,01865-02314-00073,ADRSO Shomaj Kallyan Sangstha (ADRSO),229,Other Fund,3796288,7.98,3244536,7.87
2025-06,10,73,01865-02314-00073,ADRSO Shomaj Kallyan Sangstha (ADRSO),229,Total,47564882,100,41231166,100
2025-06,11,753,05060-04245-00753,Advanced Society for Any Research & Active Life Oriented Work,229,Clients' Savings,24650833,20.57,19863484,22.32
2025-06,11,753,05060-04245-00753,Advanced Society for Any Research & Active Life Oriented Work,229,Other loans,83215000,69.43,59365000,66.69
2025-06,11,753,05060-04245-00753,Advanced Society for Any Research & Active Life Oriented Work,229,Donors' Fund,1300000,1.08,1300000,1.46
2025-06,11,753,05060-04245-00753,Advanced Society for Any Research & Active Life Oriented Work,229,Cumulative Surplus,8132089,6.78,6951905,7.81
2025-06,11,753,05060-04245-00753,Advanced Society for Any Research & Active Life Oriented Work,229,Other Fund,2563361,2.14,1532866,1.72
2025-06,11,753,05060-04245-00753,Advanced Society for Any Research & Active Life Oriented Work,229,Total,119861283,100,89013255,100
2025-06,12,837,21112-01214-00837,Agamir Shwapno (AS),229,Clients' Savings,505810,11.6,615603,19.3
2025-06,12,837,21112-01214-00837,Agamir Shwapno (AS),229,Cumulative Surplus,3583463,82.21,2187960,68.6
2025-06,12,837,21112-01214-00837,Agamir Shwapno (AS),229,Other Fund,269596,6.18,385886,12.1
2025-06,12,837,21112-01214-00837,Agamir Shwapno (AS),229,Total,4358869,100,3189449,100
2025-06,13,189,05774-00474-00189,Agragati,229,Clients' Savings,44496261,21.63,48528125,21.83
2025-06,13,189,05774-00474-00189,Agragati,229,Loan from PKSF,95016644,46.19,109783311,49.38
2025-06,13,189,05774-00474-00189,Agragati,229,Other loans,6067577,2.95,5670955,2.55
2025-06,13,189,05774-00474-00189,Agragati,229,Cumulative Surplus,49555310,24.09,48595470,21.86
2025-06,13,189,05774-00474-00189,Agragati,229,Other Fund,10568640,5.14,9735297,4.38
