edition,serial,license_no,license_printed,name,page,rank_loan_outstanding,rank_loan_disbursement,rank_branches,rank_borrowers
2025-06,1,65,00488-00186-00065,BRAC,146,1,1,2,1
2025-06,2,100,00470-00538-00100,ASA,146,2,2,1,2
2025-06,3,288,00004-00394-00288,BURO Bangladesh,146,3,3,3,3
2025-06,4,105,00704-00470-00105,TMSS,146,4,4,4,4
2025-06,5,8,00322-01714-00008,Jagorani Chakra Foundation (JCF),146,5,6,7,7
2025-06,6,25,00645-01002-00025,Society for Social Service,146,6,5,6,5
2025-06,7,155,00251-00155(K)-155,Sajida Foundation (SF),146,7,7,12,10
2025-06,8,95,00181-00468-00095,Padakhep Manabik Unnayan Kendra (Padakhep),146,8,9,11,8
2025-06,9,263,00572-02517-00263,Bangladesh Extension Education Services (BEES),146,9,8,15,9
2025-06,10,18,00176-00059-00018,Shakti Foundation for Disadvantaged Women (Shakti Foundation),146,10,11,8,13
2025-06,11,3,00123-00848-00003,United Development Initiatives for Programmed Actions-(UDDIPAN),146,11,12,5,6
2025-06,12,312,00862-00387-00312,Palli Mongal Karmosuchi,146,12,13,14,19
2025-06,13,167,00349-01375-00167,Resource Integration Centre (RIC),146,13,14,10,12
2025-06,14,26,01372-00199-00026,Rural Reconstruction Foundation,146,14,17,16,25
2025-06,15,159,02150-01563-00159,Peoples Oriented Program Implementation (POPI),146,15,19,17,18
2025-06,16,273,02761-03196-00273,Gram Unnayan Karma (GUK),146,16,15,13,11
2025-06,17,600,00152-03135-00600,Proshika Manabik Unnayan Kendro,146,17,20,9,17
2025-06,18,97,00341-00727-00097,Centre for Development Innovation and Practices,146,18,16,22,22
2025-06,19,192,00143-00175-00192,RDRS Bangladesh,146,19,18,18,14
2025-06,20,369,02100-01985-00369,Dushtha Shasthya Kendra (DSK),146,20,10,19,15
2025-06,21,203,01059-03355-00203,Eco-Social Development Organization (ESDO),146,21,22,30,29
2025-06,22,45,01621-00534-00045,SKS Foundation,146,22,21,20,21
2025-06,23,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),146,23,23,24,16
2025-06,24,86,00350-01308-00086,Ambala Foundation,146,24,27,21,43
2025-06,25,145,00940-00304-00145,Prottyashi,146,25,24,33,24
2025-06,26,129,02578-01977-00129,Christian Service Society,146,26,26,23,20
2025-06,27,343,03665-02837-00343,Society Development Committee (SDC),147,27,29,44,37
2025-06,28,287,01151-00141-00287,Socio Economic Backing Association (SEBA),147,28,25,27,26
2025-06,29,28,00561-00657-00028,Page Development Centre,147,29,28,29,30
2025-06,30,23,04908-00607-00023,Wave Foundation,147,30,33,31,32
