edition,serial,license_no,license_printed,name,page,borrowing_to_loan_outstanding,operating_cost_to_income,capital_fund_to_loan_outstanding,portfolio_yield,return_on_assets,operating_self_sufficiency,operating_margin
2025-06,1,792,21112-01012-00792,Abalamban,198,11.1,63.88,32.75,21.28,5.08,134.8,26.52
2025-06,2,529,03722-03365-00529,Abdul Hai Zahura Welfare Foundation,198,36.18,92.3,34.94,10.48,0.03,68.85,0.34
2025-06,3,244,00584-01897-00244,Access Toward Livelihood and Welfare Organization (ALWO),198,48.04,53.44,6.54,18.16,4.69,138.43,28.34
2025-06,4,894,32021-00881-00894,Action for Community Development,198,,56.17,6.98,22.97,5.05,130.33,24.27
2025-06,5,265,00684-02909-00265,ACTION FOR HUMAN DEVELOPMENT ORGANIZATION AHDO,198,16.34,71.87,30.83,20.64,1.52,103.13,8.63
2025-06,6,130,02008-02954-00130,Association for Development Activity of Manifold Social Work (ADAMS Foundation),198,0.16,91.01,38.14,16.04,0.35,100.63,2.28
2025-06,7,406,01863-00447-00406,Adarsho Manob Kallyan Sangha,198,34.65,69.18,30.92,18.12,1.9,112.8,11.76
2025-06,8,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),198,43.29,53.65,26.25,21.31,4.5,117.62,23.44
2025-06,9,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),198,32.17,55.79,23.62,19.71,0.26,101.39,1.62
2025-06,10,73,01865-02314-00073,ADRSO Shomaj Kallyan Sangstha (ADRSO),198,3.99,61.49,22.46,17.98,3.28,120.66,19.31
2025-06,11,753,05060-04245-00753,Advanced Society for Any Research & Active Life Oriented Work,198,71.56,58.78,7.73,16.4,1.07,107.17,6.86
2025-06,12,876,21112-00060-00876,Adventist Development and relief Agency ADRA Bangladesh,198,,99.52,-19.33,18.29,-0.91,75.72,-5.64
2025-06,13,837,21112-01214-00837,Agamir Shwapno (AS),198,85.47,27.52,35.14,6.69,13.65,54.67,289.2
2025-06,14,672,00648-01479-00672,Agragati Seba Sangstha (A S S),198,66.48,60.77,9.04,26.53,0.41,101.12,1.7
2025-06,15,189,05774-00474-00189,Agragati,198,55.9,75.44,27.4,18.56,0.41,102.55,2.62
2025-06,16,727,07086-04175-00727,AGROGAMI UNNAYAN SANGASTHA(AGROGAMI),198,7.33,52.8,15.77,17.96,2.74,119.62,16.96
2025-06,17,276,01180-01615-00276,Ahead Social Organization (ASO),198,52.92,50.78,23.41,21.43,4.73,132.69,25.19
2025-06,18,401,03092-01106-00401,Akota Samaj Unnayan Kenddra (ASUK),198,1.71,81.11,54.2,12.59,1.12,109.95,9.89
2025-06,19,663,00597-00726-00663,Al Kariem Shikkha O Paribesh Unnayan Foundation,198,15.99,81.57,38.92,18.97,1.35,108.39,8.21
2025-06,20,571,00688-00122-00571,ALAP- Association for Landless and Poor,199,35.81,65.16,27.08,20.0,2.61,116.79,14.54
2025-06,21,177,00339-03482-00177,Al-Falah Aam Unnayan Sangstha (AFAUS),199,3.9,71.64,38.87,22.87,2.6,115.2,14.3
2025-06,22,108,03260-01158-00108,Aloha Social Services Bangladesh (ASSB),199,6.94,57.15,65.92,23.32,6.99,147.84,34.39
2025-06,23,859,21112-00080-00859,ALOK BANGLA (An Initiative to Promote People’s Self-Help),199,61.34,50.83,10.47,21.71,2.05,108.8,10.61
2025-06,24,824,21112-00187-00824,Alor Disha Foundation,199,30.51,64.98,20.69,18.5,3.05,119.03,18.01
2025-06,25,789,21112-00792-00789,Alor Dishari Mohila Unnayan Sangstha,199,28.91,63.76,37.87,18.54,3.66,126.08,21.47
2025-06,26,671,04781-01544-00671,Alor Nir Somity (A N S),199,3.27,46.8,32.02,22.68,6.48,145.47,32.67
2025-06,27,597,04066-00937-00597,Alor Pothe (AP),199,,63.18,14.05,6.09,-0.94,61.54,-15.6
2025-06,28,303,00711-00027-00303,Alternative Development Initiative (ADI),199,41.48,62.47,19.51,20.62,1.85,107.89,10.37
