division,district,population,households,branches,members,borrowers,loan_outstanding_bdt,members_per_1000,borrowers_per_1000,loan_outstanding_per_person_bdt,avg_loan_size_bdt,branches_per_100k,financial_account_pct,mobile_banking_pct
Chattogram,Cumilla,2823268,587114,1285,1652688,1338574,105281460797,585.3812,474.1222,37290.6365,78651.9541,45.5146,27.0000,35.5300
Rajshahi,Naogaon,1859922,501957,723,1150908,868077,39238789850,618.7937,466.7276,21097.0083,45201.9692,38.8726,24.9300,40.8100
Rajshahi,Chapai Nababganj,956431,269905,381,576638,421151,16633543675,602.9060,440.3360,17391.2636,39495.4391,39.8356,22.7600,35.1300
Khulna,Chuadanga,1234054,326714,381,607138,477049,22168562301,491.9866,386.5706,17964.0132,46470.1997,30.8739,22.2500,35.9700
Khulna,Meherpur,705356,195322,191,283122,220595,11260503245,401.3888,312.7428,15964.2836,51046.0493,27.0785,23.3500,37.4700
Khulna,Kushtia,2149692,565339,513,787239,653923,29425335518,366.2101,304.1938,13688.1635,44998.1657,23.8639,26.9300,39.0100
Rangpur,Dinajpur,3315236,836977,714,1127297,999402,40891042879,340.0352,301.4573,12334.2781,40915.5104,21.5369,28.8600,44.4800
Khulna,Jhenaidah,2005849,519295,496,720352,590616,29134347036,359.1257,294.4469,14524.6960,49328.7467,24.7277,27.5500,42.5800
Rajshahi,Bogra,3734297,1025200,771,1194976,1091423,47614171019,320.0003,292.2700,12750.5046,43625.7721,20.6465,25.8600,42.6800
Rajshahi,Rajshahi,2915009,775245,721,906218,851540,35540298299,310.8800,292.1226,12192.1745,41736.4989,24.7341,28.1300,41.4700
Rajshahi,Pabna,2909624,743558,671,1046195,848589,40146988487,359.5636,291.6490,13797.9988,47310.2862,23.0614,28.0400,40.0400
Rajshahi,Natore,1835528,448028,445,615519,517561,22920994345,335.3362,281.9685,12487.4120,44286.5563,24.2437,25.6900,39.4500
Dhaka,Rajbari,1189818,295216,270,456334,325822,15643433317,383.5326,273.8419,13147.7531,48012.2070,22.6925,25.9700,37.6200
Dhaka,Faridpur,2162879,525877,512,810392,581928,32214682535,374.6821,269.0525,14894.3526,55358.5367,23.6722,25.6700,36.3300
Dhaka,Shariatpur,1294562,308964,301,470642,342967,25269991105,363.5531,264.9290,19520.1088,73680.5323,23.2511,24.1400,37.1000
Dhaka,Madaripur,1293027,313273,312,481479,332640,27292382073,372.3658,257.2568,21107.3567,82047.8057,24.1294,26.0900,37.8500
Rangpur,Panchagarh,1179843,281627,193,378598,297495,10973786653,320.8885,252.1480,9301.0567,36887.2978,16.3581,27.5000,37.8700
Rangpur,Nilphamari,2092568,505605,313,670120,523450,20878841231,320.2381,250.1472,9977.6166,39886.9830,14.9577,25.9600,43.3700
Dhaka,Manikganj,1558025,393524,373,634346,383856,23830651589,407.1475,246.3735,15295.4231,62082.2694,23.9406,28.0600,33.2700
Khulna,Jashore,3076144,798032,649,1004377,757808,35708752904,326.5052,246.3500,11608.2839,47121.1084,21.0978,27.3000,38.0900
Khulna,Magura,1033115,254154,207,338256,251544,11809570645,327.4137,243.4811,11431.0320,46948.3297,20.0365,26.6200,40.9500
Rangpur,Rangpur,3169614,834307,442,901148,768970,28708477914,284.3084,242.6068,9057.4051,37333.6774,13.9449,23.5700,42.2800
Dhaka,Munshiganj,1625416,399631,362,555470,388122,32182883744,341.7402,238.7832,19799.7828,82919.5040,22.2712,28.8700,32.6200
Chattogram,Chandpur,2635748,635431,483,795765,625134,37778395646,301.9124,237.1752,14333.0833,60432.4763,18.3250,25.3100,41.6900
Khulna,Khulna,2613385,670861,488,810377,614284,23407571790,310.0871,235.0530,8956.8019,38105.4558,18.6731,31.5200,46.6200
Dhaka,Tangail,4037608,1061746,904,1489444,932279,45442941205,368.8927,230.8988,11254.9166,48743.9288,22.3895,27.6500,35.5300
Barishal,Patuakhali,1727254,424743,333,511720,390214,18162724717,296.2622,225.9158,10515.3757,46545.5486,19.2792,24.8000,40.0900
Rangpur,Lalmonirhat,1428406,342028,182,419971,318310,12098057146,294.0137,222.8428,8469.6208,38007.1539,12.7415,19.0600,41.1500
Rangpur,Thakurgaon,1533895,382400,212,408692,336528,14390834079,266.4407,219.3944,9381.8899,42762.6649,13.8210,26.1000,40.9000
Barishal,Barguna,1010531,255390,187,291008,220590,9874150249,287.9753,218.2912,9771.2492,44762.4564,18.5051,23.9100,45.2300
Khulna,Satkhira,2196582,566752,394,697234,477810,17988195684,317.4177,217.5243,8189.1756,37647.1729,17.9370,26.9800,44.4200
Rangpur,Gaibandha,2562233,700288,364,700830,554653,23947623785,273.5231,216.4725,9346.3880,43175.8663,14.2064,24.6600,46.9700
Chattogram,Feni,1648896,377164,321,471009,344747,25596751848,285.6511,209.0775,15523.5696,74247.9321,19.4676,29.6500,35.2500
Dhaka,Gopalganj,1295057,308710,227,372698,270388,14452275052,287.7850,208.7846,11159.5668,53450.1348,17.5282,24.2500,41.6600
Dhaka,Narsingdi,2584452,621511,473,764886,538750,34590541356,295.9567,208.4581,13384.0912,64205.1812,18.3018,23.6500,31.4000
Khulna,Bagerhat,1613076,408840,291,481010,335875,11970510736,298.1943,208.2202,7420.9217,35639.7789,18.0401,25.8400,40.4000
Barishal,Barisal,2570446,629626,458,612209,525553,24373603589,238.1723,204.4598,9482.2469,46377.0611,17.8179,26.2900,42.0300
Barishal,Jhalokati,661160,162401,105,189525,134645,5578606733,286.6553,203.6496,8437.6047,41431.9636,15.8812,27.2900,45.0700
Barishal,Bhola,1932518,449057,288,512460,392824,21602109015,265.1773,203.2706,11178.2188,54991.8259,14.9028,23.1600,35.8100
Khulna,Narail,788671,195660,138,234749,157184,7756472942,297.6514,199.3024,9834.8652,49346.4535,17.4978,25.3000,40.0600
Dhaka,Narayanganj,3909138,1023175,606,1018228,769493,48910598837,260.4738,196.8447,12511.8629,63562.1102,15.5021,23.4400,36.9200
Barishal,Pirojpur,1198195,298490,201,335736,234151,10828273821,280.2015,195.4198,9037.1549,46244.8327,16.7752,24.7100,44.1900
Rangpur,Kurigram,2329160,605722,281,516522,448361,16701286428,221.7632,192.4990,7170.5192,37249.6413,12.0644,18.3200,45.4500
Chattogram,Brahmanbaria,3306563,712578,564,842178,631054,49094725989,254.6989,190.8489,14847.6608,77797.9792,17.0570,23.4000,31.5500
Chattogram,Lakshmipur,1937948,459344,340,513406,367866,24478872749,264.9225,189.8224,12631.3362,66542.9062,17.5443,24.7700,37.7100
Rajshahi,Sirajganj,3357706,842308,519,869260,629977,30035684119,258.8851,187.6213,8945.2990,47677.4297,15.4570,21.1500,36.7400
Dhaka,Kishoreganj,3267626,760952,482,840052,601523,32451475263,257.0833,184.0856,9931.2085,53948.8519,14.7508,17.3200,27.1300
Chattogram,Noakhali,3625442,776070,562,870104,637614,40948506850,239.9994,175.8721,11294.7626,64221.4676,15.5016,23.4700,34.4400
Dhaka,Gazipur,5263450,1579781,816,1274163,918807,59153565713,242.0775,174.5636,11238.5537,64380.8392,15.5031,25.1600,51.3500
Chattogram,Chattogram,9169465,2143909,1278,2190176,1546626,79012078053,238.8554,168.6713,8616.8689,51086.7385,13.9376,30.2200,35.2100
Sylhet,Maulvibazar,2123447,446356,205,448494,356456,14631300260,211.2104,167.8667,6890.3534,41046.5815,9.6541,23.0700,30.9100
Mymensingh,Netrakona,2324853,548443,233,419679,380675,14923036378,180.5185,163.7415,6418.9161,39201.5141,10.0221,16.7600,34.6100
Sylhet,Habiganj,2358886,491884,252,435593,379245,19677539052,184.6605,160.7729,8341.8779,51886.0870,10.6830,16.8100,29.6300
Chattogram,Khagrachhari,714119,169526,74,139499,107902,5123396066,195.3442,151.0981,7174.4290,47481.9379,10.3624,20.9800,38.9900
Mymensingh,Jamalpur,2499738,652047,237,504587,365560,15499855131,201.8560,146.2393,6200.5919,42400.3040,9.4810,17.6100,37.7500
Mymensingh,Sherpur,1501853,396149,120,297209,211029,8300546491,197.8949,140.5124,5526.8701,39333.6768,7.9901,16.6700,37.0400
Mymensingh,Mymensingh,5899005,1460904,621,984892,762718,38243175569,166.9590,129.2960,6482.9875,50140.6491,10.5272,17.4000,34.9000
Rajshahi,Joypurhat,2784599,765457,260,420377,321891,13104206179,150.9650,115.5969,4705.9581,40710.0732,9.3371,28.4600,42.5200
